epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3541.06,0.04355,1.26491,0.88622,0.49693,0.7046,0.60068,0.60053,0.12189,0.96559,0.25795,0.005743,0.005743,0.005743
45,3621.74,0.04396,1.25879,0.88571,0.50692,0.70005,0.60952,0.60949,0.11334,0.94869,0.24834,0.005644,0.005644,0.005644
46,3701.82,0.04335,1.25347,0.88555,0.51426,0.70129,0.61656,0.61653,0.11242,0.9406,0.24729,0.005545,0.005545,0.005545
47,3781.93,0.04256,1.24198,0.88599,0.52215,0.69072,0.62268,0.62265,0.11065,0.939,0.24552,0.005446,0.005446,0.005446
48,3861.9,0.04218,1.23656,0.88764,0.51989,0.71292,0.629,0.62875,0.1005,0.94046,0.23709,0.005347,0.005347,0.005347
49,3942.63,0.0414,1.23873,0.88558,0.52457,0.71852,0.64042,0.64021,0.09415,0.93334,0.23345,0.005248,0.005248,0.005248
50,4022.53,0.04114,1.23056,0.88394,0.52313,0.72295,0.6439,0.64311,0.10942,0.94225,0.24963,0.005149,0.005149,0.005149
51,4102.16,inf,1.22579,0.88559,0.53343,0.70659,0.64722,0.64637,0.11974,0.92729,0.25906,0.00505,0.00505,0.00505
52,4181.82,0.04088,1.21738,0.88331,0.54051,0.70818,0.65246,0.6518,0.12143,0.91727,0.26075,0.004951,0.004951,0.004951
53,4261.72,0.0406,1.21868,0.88596,0.54834,0.70506,0.65955,0.65909,0.12292,0.90825,0.26251,0.004852,0.004852,0.004852
54,4341.31,0.0404,1.21009,0.88459,0.55936,0.69914,0.66579,0.6654,0.12347,0.89955,0.26334,0.004753,0.004753,0.004753
55,4420.83,0.03969,1.20408,0.88563,0.56409,0.70063,0.67022,0.67004,0.11639,0.8871,0.25507,0.004654,0.004654,0.004654
56,4500.9,0.04023,1.19925,0.88483,0.57266,0.69579,0.67544,0.674,0.13962,0.90208,0.28529,0.004555,0.004555,0.004555
57,4581.17,inf,1.19654,0.88345,0.57571,0.69491,0.67827,0.67512,0.16315,0.90839,0.3165,0.004456,0.004456,0.004456
58,4661.43,inf,1.19336,0.8854,0.58037,0.69759,0.68295,0.67974,0.16431,0.90275,0.31814,0.004357,0.004357,0.004357
59,4741.58,inf,1.19129,0.88534,0.57619,0.70725,0.68593,0.68251,0.16573,0.89858,0.31993,0.004258,0.004258,0.004258
60,4822.37,0.03785,1.17854,0.88457,0.57531,0.71043,0.68843,0.68456,0.16678,0.8948,0.32062,0.004159,0.004159,0.004159
61,4902.53,0.03794,1.16996,0.88552,0.58113,0.71176,0.69156,0.68793,0.16515,0.89045,0.31905,0.00406,0.00406,0.00406
62,4983,0.03817,1.17382,0.88228,0.58634,0.71237,0.69569,0.69201,0.16324,0.88653,0.31699,0.003961,0.003961,0.003961
63,5063.47,0.03754,1.17345,0.88578,0.5914,0.7161,0.69902,0.69619,0.15803,0.88218,0.31072,0.003862,0.003862,0.003862
64,5143.94,0.03703,1.16675,0.88405,0.59331,0.71656,0.70142,0.69878,0.1592,0.87911,0.31153,0.003763,0.003763,0.003763
65,5224.76,inf,1.16027,0.88438,0.59393,0.71448,0.70473,0.70192,0.15658,0.87518,0.30828,0.003664,0.003664,0.003664
66,5304.08,0.03649,1.1542,0.88445,0.59873,0.71418,0.70681,0.70421,0.15628,0.87166,0.30771,0.003565,0.003565,0.003565
67,5384.27,0.03655,1.15873,0.88599,0.59939,0.71675,0.71008,0.7078,0.1511,0.86603,0.30135,0.003466,0.003466,0.003466
68,5463.71,inf,1.15374,0.88528,0.6143,0.70648,0.71265,0.7111,0.14267,0.85606,0.29117,0.003367,0.003367,0.003367
69,5544,inf,1.14684,0.88522,0.6181,0.7056,0.71502,0.71374,0.13932,0.85078,0.28665,0.003268,0.003268,0.003268
70,5624.55,0.03564,1.14949,0.88527,0.61886,0.70689,0.71653,0.71528,0.13887,0.84826,0.2858,0.003169,0.003169,0.003169
